Field Type,ID,Field Name,Original Text,Translated Text
DictKey_ActionRadioText_,713,DictKey_ActionRadioText_713,Wing Close Formation,僚机紧密编队
DictKey_ActionRadioText_,716,DictKey_ActionRadioText_716,Wing Open Formation,僚机疏散编队
DictKey_ActionRadioText_,721,DictKey_ActionRadioText_721,Wing RTB,僚机返航（RTB）
DictKey_ActionRadioText_,722,DictKey_ActionRadioText_722,Wing Hold Position,僚机保持位置
DictKey_ActionRadioText_,725,DictKey_ActionRadioText_725,Wing Trail Formation,僚机纵队编队
DictKey_ActionRadioText_,726,DictKey_ActionRadioText_726,Wing Attack Ground Units,僚机攻击地面单位
DictKey_ActionRadioText_,742,DictKey_ActionRadioText_742,Wing Attack Air Defences,僚机攻击防空系统
DictKey_ActionRadioText_,751,DictKey_ActionRadioText_751,Wing Attack Armour,僚机攻击装甲目标
DictKey_ActionRadioText_,763,DictKey_ActionRadioText_763,TEST EVADE ON,测试规避开启
DictKey_ActionRadioText_,874,DictKey_ActionRadioText_874,,
DictKey_ActionRadioText_,875,DictKey_ActionRadioText_875,,
DictKey_ActionRadioText_,876,DictKey_ActionRadioText_876,,
DictKey_ActionRadioText_,877,DictKey_ActionRadioText_877,,
DictKey_ActionRadioText_,878,DictKey_ActionRadioText_878,,
DictKey_ActionRadioText_,879,DictKey_ActionRadioText_879,,
DictKey_ActionRadioText_,880,DictKey_ActionRadioText_880,,
DictKey_ActionRadioText_,881,DictKey_ActionRadioText_881,,
DictKey_ActionRadioText_,882,DictKey_ActionRadioText_882,Wing Close Formation,僚机紧密编队
DictKey_ActionRadioText_,883,DictKey_ActionRadioText_883,Wing Open Formation,僚机疏散编队
DictKey_ActionRadioText_,884,DictKey_ActionRadioText_884,Wing Trail Formation,僚机纵队编队
DictKey_ActionRadioText_,885,DictKey_ActionRadioText_885,Wing Hold Position,僚机保持位置
DictKey_ActionRadioText_,886,DictKey_ActionRadioText_886,,
DictKey_ActionRadioText_,887,DictKey_ActionRadioText_887,Wing RTB,僚机返航（RTB）
DictKey_ActionRadioText_,888,DictKey_ActionRadioText_888,Wing Attack Ground Units,僚机攻击地面单位
DictKey_ActionRadioText_,889,DictKey_ActionRadioText_889,Wing Attack Air Defences,僚机攻击防空系统
DictKey_ActionRadioText_,890,DictKey_ActionRadioText_890,Wing Attack Armour,僚机攻击装甲目标
DictKey_ActionRadioText_,957,DictKey_ActionRadioText_957,Request Startup,请求启动
DictKey_ActionRadioText_,958,DictKey_ActionRadioText_958,,
DictKey_ActionRadioText_,959,DictKey_ActionRadioText_959,Request Startup,请求启动
DictKey_ActionRadioText_,979,DictKey_ActionRadioText_979,,
DictKey_ActionRadioText_,980,DictKey_ActionRadioText_980,Request Taxi,请求滑行
