Field Type,ID,Field Name,Original Text,Translated Text
DictKey_ActionRadioText_,462,DictKey_ActionRadioText_462,Advise that Ford attacks,建议Ford发动攻击。
DictKey_ActionRadioText_,463,DictKey_ActionRadioText_463,Advise that police stops the car,建议警察拦停车辆。
DictKey_ActionRadioText_,468,DictKey_ActionRadioText_468,,
DictKey_ActionRadioText_,469,DictKey_ActionRadioText_469,,
DictKey_ActionRadioText_,470,DictKey_ActionRadioText_470,Advise that Ford attacks,建议Ford发动攻击。
DictKey_ActionRadioText_,471,DictKey_ActionRadioText_471,Advise that police stops the car,建议警察拦停车辆。
DictKey_ActionRadioText_,473,DictKey_ActionRadioText_473,Advise that Ford attacks,建议Ford发动攻击。
DictKey_ActionRadioText_,474,DictKey_ActionRadioText_474,Advise that police stops the car,建议警察拦停车辆。
DictKey_ActionRadioText_,476,DictKey_ActionRadioText_476,,
DictKey_ActionRadioText_,477,DictKey_ActionRadioText_477,,
DictKey_ActionRadioText_,1286,DictKey_ActionRadioText_1286,"Explosions, 37 T GG 340 792",爆炸位置，37 T GG 340 792
DictKey_ActionRadioText_,1287,DictKey_ActionRadioText_1287,"Explosions, 37 T GG 340 792",爆炸位置，37 T GG 340 792
DictKey_ActionText_,64,DictKey_ActionText_64,,
DictKey_ActionText_,74,DictKey_ActionText_74,,
DictKey_ActionText_,79,DictKey_ActionText_79,Press F2 as soon as the mission starts.,任务开始后立即按F2。
DictKey_ActionText_,112,DictKey_ActionText_112,Press SPACE BAR when you are ready to ask others about their fuel status on GENERAL frequency.,切换到通用频率。完成后按空格键，询问编队中其他人燃油状态。
DictKey_ActionText_,114,DictKey_ActionText_114,",",，
DictKey_ActionText_,116,DictKey_ActionText_116,,
DictKey_ActionText_,218,DictKey_ActionText_218,Tune to Overlord  (check kneeboard if you need to) and press SPACE BAR to tell the flight to tune to that freq.,调至Overlord频率（如需查看，请查阅膝板），然后按空格键通知编队调至该频率。
DictKey_ActionText_,224,DictKey_ActionText_224,.,。
DictKey_ActionText_,227,DictKey_ActionText_227,,
DictKey_ActionText_,242,DictKey_ActionText_242,,
DictKey_ActionText_,326,DictKey_ActionText_326,"Press SPACE BAR when you are visual on the smoke north of your positions. \
\
Make sure you are still on Overlord frequency on UHF radio.",当看到北部的烟雾时，按空格键。确保UHF无线电仍在Overlord频率上。
DictKey_ActionText_,328,DictKey_ActionText_328,"Explosions in Savamichavo village,Grid 37 T GG 340 792",Savamichavo村发生爆炸，网格坐标：37 T GG 340 792。
DictKey_ActionText_,333,DictKey_ActionText_333,Switch to Kobuleti freq on AM radio and press SPACE BAR when ready.,切换到AM无线电，到Kobuleti塔台频率，准备好后按空格键。
DictKey_ActionText_,335,DictKey_ActionText_335,Remember to switch to 133 when you finish talking,通话结束后记得切换到133频率。
DictKey_ActionText_,438,DictKey_ActionText_438,,
DictKey_ActionText_,440,DictKey_ActionText_440,Make sure that you tune to Ford 01 frequency (144.5 AM). Press SPACE BAR to remove this message when you've done so.,确保调至Ford 01频率（144.5 AM）。完成后按空格键以移除此消息。
DictKey_ActionText_,441,DictKey_ActionText_441,",",，
DictKey_ActionText_,461,DictKey_ActionText_461,"Use F-10 radio menu to Inform Overlord Actual what you think would be the best course of action:\
\
- Let FORD destroy the Jeep\
- Let Georgian police stop it","使用F-10无线电菜单通知Overlord你认为最佳行动方案： \
\
- 让FORD摧毁吉普车 \
- 让格鲁吉亚警察拦截它"
DictKey_ActionText_,467,DictKey_ActionText_467,",",，
DictKey_ActionText_,472,DictKey_ActionText_472,",",，
DictKey_ActionText_,475,DictKey_ActionText_475,",",，
DictKey_ActionText_,478,DictKey_ActionText_478,",",，
DictKey_ActionText_,489,DictKey_ActionText_489,",",，
DictKey_ActionText_,490,DictKey_ActionText_490,,
DictKey_ActionText_,499,DictKey_ActionText_499,The coordinates are added to your F-10 radio menu.,坐标已添加到你的F-10无线电菜单中。
DictKey_ActionText_,500,DictKey_ActionText_500,,
DictKey_ActionText_,502,DictKey_ActionText_502,DATE: 27 March 2012,日期：2012年3月27日
DictKey_ActionText_,503,DictKey_ActionText_503,"\""THE ENEMY WITHIN 3.0\"" by Baltic Dragon",《内敌3.0》作者：Baltic Dragon
DictKey_ActionText_,506,DictKey_ActionText_506,"LOCATION: Over Black Sea, 80 miles southwest from Kobuleti Air Base.",位置：黑海上空，距离Kobuleti空军基地西南80英里。
DictKey_ActionText_,517,DictKey_ActionText_517,.,。
DictKey_ActionText_,518,DictKey_ActionText_518,Make sure that you are on correct frequency for ARCO and press SPACE BAR when you are ready.,确保你在ARCO的正确频率上，准备好后按空格键。
DictKey_ActionText_,520,DictKey_ActionText_520,.,。
DictKey_ActionText_,1295,DictKey_ActionText_1295,"MISSION COMPLETE\
\
Taxi to your parking spot and shut down the plane. \
\
You can exit at any time, the campaign will progress.","任务完成\
\
滑行至你的停机位并关车。\
\
你可以随时退出，战役将继续推进。"
DictKey_ActionText_,1298,DictKey_ActionText_1298,,
