Field Type,ID,Field Name,Original Text,Translated Text,,
DictKey_ActionRadioText_,963,DictKey_ActionRadioText_963,There is nothing there,那里什么都没有。,,
DictKey_ActionRadioText_,964,DictKey_ActionRadioText_964,"Looks suspicious, stop PROWLER",看起来可疑，叫停PROWLER。,,
DictKey_ActionRadioText_,967,DictKey_ActionRadioText_967,,,,
DictKey_ActionRadioText_,968,DictKey_ActionRadioText_968,,,,
DictKey_ActionRadioText_,969,DictKey_ActionRadioText_969,There is nothing there,那里什么都没有。,,
DictKey_ActionRadioText_,970,DictKey_ActionRadioText_970,"Looks suspicious, stop PROWLER",看起来可疑，叫停PROWLER。,,
DictKey_ActionRadioText_,973,DictKey_ActionRadioText_973,There is nothing there,那里什么都没有。,,
DictKey_ActionRadioText_,974,DictKey_ActionRadioText_974,"Looks suspicious, stop PROWLER",看起来可疑，叫停PROWLER。,,
DictKey_ActionRadioText_,977,DictKey_ActionRadioText_977,,,,
DictKey_ActionRadioText_,978,DictKey_ActionRadioText_978,,,,
DictKey_ActionRadioText_,1245,DictKey_ActionRadioText_1245,This is not a threat.,不构成威胁。,,
DictKey_ActionRadioText_,1246,DictKey_ActionRadioText_1246,"This is a threat, stop Prowler.",可能存在威胁，叫停PROWLER。,,
DictKey_ActionRadioText_,1249,DictKey_ActionRadioText_1249,,,,
DictKey_ActionRadioText_,1250,DictKey_ActionRadioText_1250,,,,
DictKey_ActionRadioText_,1251,DictKey_ActionRadioText_1251,This is not a threat.,不构成威胁。,,
DictKey_ActionRadioText_,1252,DictKey_ActionRadioText_1252,"This is a threat, stop Prowler.",可能存在威胁，叫停PROWLER。,,
DictKey_ActionRadioText_,1254,DictKey_ActionRadioText_1254,This is not a threat.,不构成威胁。,,
DictKey_ActionRadioText_,1255,DictKey_ActionRadioText_1255,"This is a threat, stop Prowler.",可能存在威胁，叫停PROWLER。,,
DictKey_ActionRadioText_,1258,DictKey_ActionRadioText_1258,There is nothing there.,那里什么都没有。,,
DictKey_ActionRadioText_,1259,DictKey_ActionRadioText_1259,"This is a threat, stop Prowler.",可能存在威胁，叫停PROWLER。,,
DictKey_ActionRadioText_,1261,DictKey_ActionRadioText_1261,There is nothing there.,那里什么都没有。,,
DictKey_ActionRadioText_,1262,DictKey_ActionRadioText_1262,"This is a threat, stop Prowler.",可能存在威胁，叫停PROWLER。,,
DictKey_ActionRadioText_,1264,DictKey_ActionRadioText_1264,There is nothing there.,那里什么都没有。,,
DictKey_ActionRadioText_,1265,DictKey_ActionRadioText_1265,"This is a threat, stop Prowler.",可能存在威胁，叫停PROWLER。,,
DictKey_ActionRadioText_,1270,DictKey_ActionRadioText_1270,Use guns.,使用机炮。,,
DictKey_ActionRadioText_,1271,DictKey_ActionRadioText_1271,Use rockets.,使用火箭弹。,,
DictKey_ActionRadioText_,1272,DictKey_ActionRadioText_1272,Use GBU-12.,使用GBU-12。,,
DictKey_ActionRadioText_,1275,DictKey_ActionRadioText_1275,,,,
DictKey_ActionRadioText_,1276,DictKey_ActionRadioText_1276,,,,
DictKey_ActionRadioText_,1277,DictKey_ActionRadioText_1277,,,,
DictKey_ActionRadioText_,1278,DictKey_ActionRadioText_1278,Use guns.,使用机炮。,,
DictKey_ActionRadioText_,1279,DictKey_ActionRadioText_1279,Use rockets.,使用火箭弹。,,
DictKey_ActionRadioText_,1280,DictKey_ActionRadioText_1280,Use GBU-12.,使用GBU-12。,,
DictKey_ActionRadioText_,1282,DictKey_ActionRadioText_1282,,,,
DictKey_ActionRadioText_,1283,DictKey_ActionRadioText_1283,,,,
DictKey_ActionRadioText_,1284,DictKey_ActionRadioText_1284,,,,
DictKey_ActionRadioText_,1286,DictKey_ActionRadioText_1286,Use guns.,使用机炮。,,
DictKey_ActionRadioText_,1287,DictKey_ActionRadioText_1287,Use rockets.,使用火箭弹。,,
DictKey_ActionRadioText_,1288,DictKey_ActionRadioText_1288,Use GBU-12.,使用GBU-12。,,
DictKey_ActionRadioText_,1290,DictKey_ActionRadioText_1290,Use guns.,使用机炮。,,
DictKey_ActionRadioText_,1291,DictKey_ActionRadioText_1291,Use rockets.,使用火箭弹。,,
DictKey_ActionRadioText_,1292,DictKey_ActionRadioText_1292,Use GBU-12.,使用GBU-12。,,
DictKey_ActionRadioText_,1482,DictKey_ActionRadioText_1482,Safeguard: mission success,Safeguard：任务成功。,,
DictKey_ActionText_,570,DictKey_ActionText_570,,,,
DictKey_ActionText_,571,DictKey_ActionText_571,,,,
DictKey_ActionText_,573,DictKey_ActionText_573,Make sure that you are on correct frequency and press SPACE BAR to contact OVERLORD.,确保你在正确的频率上，并按空格键联系OVERLORD。,,
DictKey_ActionText_,574,DictKey_ActionText_574,,,,
DictKey_ActionText_,575,DictKey_ActionText_575,,,,
DictKey_ActionText_,576,DictKey_ActionText_576,.,。,,
DictKey_ActionText_,577,DictKey_ActionText_577,"Get close to the helicopter over Bravo or check its bort number via TGP, tune to GUARD frequency and press SPACE BAR to contact him on the radio.",靠近Bravo上空的直升机，或通过TGP检查其机身编号，调至GUARD频率，并按空格键通过无线电联系他。,,
DictKey_ActionText_,579,DictKey_ActionText_579,.,。,,
DictKey_ActionText_,828,DictKey_ActionText_828,"Date: 28/03/2012\
\
Time: 08:45 local\
\
Location: Kobuleti Airport, parking spot 15\","日期：2012年3月28日\
\
时间：当地时间08:45\
\
地点：Kobuleti机场，停机位15",,
DictKey_ActionText_,829,DictKey_ActionText_829,"Flight: DODGE 01\
\
Wingman: CAPTAIN\
\
Task: XCAS","小队：DODGE 01\
\
僚机：CAPTAIN\
\
任务：临时近距离空中支援（XCAS）",,
DictKey_ActionText_,832,DictKey_ActionText_832,Check that you are on the correct frequency and press SPACE BAR to contact PROWLER when you reach WP 2.,确认你在正确的频率上，到达航路点2时按空格键联系PROWLER。,,
DictKey_ActionText_,857,DictKey_ActionText_857,,,,
DictKey_ActionText_,858,DictKey_ActionText_858,,,,
DictKey_ActionText_,864,DictKey_ActionText_864,Remember to switch back to Overlord's frequency on AM radio (140.5).,记得切换回AM无线电上的Overlord频率（140.5）。,,
DictKey_ActionText_,901,DictKey_ActionText_901,IN ZONE,进入区域,,
DictKey_ActionText_,958,DictKey_ActionText_958,,,,
DictKey_ActionText_,960,DictKey_ActionText_960,"CHARLIE 13.\
Red brick garage north of the smoking chimney, facing the road.\
\
Press SPACE BAR when you are visual on that place.  \
\
(a markpoint has been added on the map if you need it)","CHARLIE 13。\
红砖车库位于冒烟烟囱的北侧，面向道路。\
\
当你看到该地点时按空格键。\
\
（地图上已添加标记点，以备所需）",,
DictKey_ActionText_,961,DictKey_ActionText_961,"Use F10 radio menu to decide what to do. \
\
- Tell CAPTAIN that nothing is there.\
- Tell that it looks suspicious and that you need to stop Prowler.","使用F10无线电菜单决定如何行动。\
\
- 告诉CAPTAIN那里什么都没有。\
- 告诉他那里看起来可疑，需要叫停Prowler。",,
DictKey_ActionText_,965,DictKey_ActionText_965,.,.,,
DictKey_ActionText_,971,DictKey_ActionText_971,.,.,,
DictKey_ActionText_,975,DictKey_ActionText_975,,,,
DictKey_ActionText_,981,DictKey_ActionText_981,,,,
DictKey_ActionText_,982,DictKey_ActionText_982,FL120,FL120,,
DictKey_ActionText_,1108,DictKey_ActionText_1108,"Press SPACE BAR to inform CAPTAIN that you are visual on the truck.\
\
(Truck entering the road just north of the third river)","按空格键通知CAPTAIN你已看到卡车。\
\
（卡车正进入第三条河流以北的道路）",,
DictKey_ActionText_,1109,DictKey_ActionText_1109,.,.,,
DictKey_ActionText_,1110,DictKey_ActionText_1110,,,,
DictKey_ActionText_,1113,DictKey_ActionText_1113,,,,
DictKey_ActionText_,1114,DictKey_ActionText_1114,,,,
DictKey_ActionText_,1243,DictKey_ActionText_1243,"Use F-10 radio menu to inform CAPTAIN what you see there. \
\
(WINGMAN (CAPTAIN): One, two, can you have a closer look at the bridge in Echo, where the road turns to the east?)","使用F-10无线电菜单通知CAPTAIN你在那里看到的情况。\
\
（僚机（CAPTAIN）：一号，二号呼叫，你能更仔细看看Echo区域的桥附近，道路向东转弯的地方吗？）",,
DictKey_ActionText_,1247,DictKey_ActionText_1247,.,。,,
DictKey_ActionText_,1253,DictKey_ActionText_1253,.,。,,
DictKey_ActionText_,1256,DictKey_ActionText_1256,"Use F-10 radio menu to inform OVERLORD what you see there. \
\
(OVERLORD:  Check the forest and surroundings at grid GG 311 388 for possible enemy presence, report back)","使用F-10无线电菜单通知OVERLORD你在那里看到的情况。\
\
（OVERLORD：检查网格GG 311 388的森林及周边地区，是否可能有敌人，并报告情况）",,
DictKey_ActionText_,1260,DictKey_ActionText_1260,.,。,,
DictKey_ActionText_,1263,DictKey_ActionText_1263,.,。,,
