Field Type,ID,Field Name,Original Text,Translated Text
DictKey_ActionText_,11,DictKey_ActionText_11,TULEEKO LAPI,TULEEKO LAPI
DictKey_ActionText_,60,DictKey_ActionText_60,TUNE FREQUENCY 119.9 ON PRIMARY RADIO AND PRESS SPACEBAR WHEN READY,将主无线电调至119.9，准备好后按空格键。
DictKey_ActionText_,70,DictKey_ActionText_70,,
DictKey_ActionText_,100,DictKey_ActionText_100,"LISTEN AKROTIRI ATIS ON 125.00 WITH AUXILLARY RADIO. \
\
WHEN READY CONTINUE MONITORING TACTICAL FREQUENCY 305.0 WITH AUXILLARY RADIO.\
\
PRESS SPACEBAR TO REMOVE THIS MESSAGE","使用辅助无线电收听阿克罗蒂里情报通播（ATIS），频率125.00。\
\
完成后，将辅助无线电调回，继续监听战术频道，频率305.0。\
\
按空格键以移除此消息。"
DictKey_ActionText_,101,DictKey_ActionText_101,,
DictKey_ActionText_,126,DictKey_ActionText_126,"TUNE AKROTIRI APPROACH FREQUENCY 235.05 ON PRIMARY RADIO\
\
PRESS SPACEBAR WHEN READY","将主无线电调至阿克罗蒂里进近频率235.05。\
\
准备好后按空格键。"
DictKey_ActionText_,127,DictKey_ActionText_127,,
DictKey_ActionText_,157,DictKey_ActionText_157,,
DictKey_ActionText_,158,DictKey_ActionText_158,PRESS SPACEBAR WHEN 13.7 MILE DME ARC ESTABLISHED,当13.7海里DME弧建立后按空格键。
DictKey_ActionText_,159,DictKey_ActionText_159,,
DictKey_ActionText_,161,DictKey_ActionText_161,,
DictKey_ActionText_,187,DictKey_ActionText_187,PRESS SPACEBAR WHEN PASSING RADIAL 150,经过150径向时按空格键。
DictKey_ActionText_,188,DictKey_ActionText_188,,
DictKey_ActionText_,189,DictKey_ActionText_189,,
DictKey_ActionText_,214,DictKey_ActionText_214,PRESS SPACEBAR WHEN FINAL APPROACH COURSE ESTABLISHED,建立最后进近航向后按空格键。
DictKey_ActionText_,215,DictKey_ActionText_215,,
DictKey_ActionText_,216,DictKey_ActionText_216,"TUNE AKROTIRI TOWER FREQUENCY 339.85 ON YOUR PRIMARY RADIO\
\
PRESS SPACEBAR WHEN READY","将主无线电调至阿克罗蒂里塔台频率339.85。\
\
准备好后按空格键。"
DictKey_ActionText_,217,DictKey_ActionText_217,,
DictKey_ActionText_,241,DictKey_ActionText_241,,
DictKey_ActionText_,246,DictKey_ActionText_246,,
DictKey_ActionText_,248,DictKey_ActionText_248,"TUNE AKROTIRI GROUND FREQUENCY 240.1 ON YOUR PRIMARY RADIO\
\
PRESS SPACEBAR WHEN RUNWAY VACATED","将主无线电调至阿克罗蒂里地面频率240.1。\
\
跑道清空后按空格键。"
DictKey_ActionText_,255,DictKey_ActionText_255,,
DictKey_ActionText_,256,DictKey_ActionText_256,,
DictKey_ActionText_,261,DictKey_ActionText_261,IN CASE OF MISSED APPROACH REPORT TOWER BY PRESSING SPACEBAR,若决定复飞，按空格键向塔台报告。
DictKey_ActionText_,262,DictKey_ActionText_262,,
DictKey_ActionText_,267,DictKey_ActionText_267,,
DictKey_ActionText_,268,DictKey_ActionText_268,,
